127.0.0.1 - - [14/Mar/2024:22:11:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:11:51 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:11:51 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:11:54 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 678700
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:19:17 +0530] "GET /ProductManagementApp/EditProductServlet?proId=12345 HTTP/1.1" 200 2331
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:23:37 +0530] "GET /ProductManagementApp/ HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:23:39 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:23:39 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:23:40 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:23:40 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:23:55 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:23:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:24:02 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:24:03 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:24:03 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:24:03 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:24:03 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:24:03 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:24:03 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:24:04 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:22:24:04 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
